Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
Roupa Térmica Infantil Criança Conjunto Preto Liso Peluciado,4.8,82.0,31.0,neve segunda pele térmica,suplex,Sem gênero infantil,outono/inverno,500.0,113.97,0.925925925925926,0.008924636403702,0.4262295081967213,0.1757955049282084,564,151,3,0.0,0.0031832651205093,0.0104592996816734
Kit 2 Bermudas Short Moda Praia Liso Treino Academia Top,4.6,5.0,0.0,relaxado,poliéster,Masculino,primavera/verão,50.0,63.9,0.8518518518518517,0.000440722785368,0.0,0.0904130145629412,650,122,7,50.0,0.0118235561618917,0.1173260572987721
Roupa Feminina Umbanda E Candomblé 3 Pç Camisú+calçolú+saia,4.7,251.0,0.0,atacadão beira mar,Desconhecido,Feminino,não definido,1000.0,102.70571283095724,0.888888888888889,0.0275451740855002,0.0,0.0,62,178,1,1000.0,0.0013642564802182,0.0
Calça Jeans Plus Size Skinny Feminina Com Lycra Cintura Alta,4.560936497754971,0.0,8.0,stillger,algodão,Feminino,outono/inverno,2.0,78.58,0.0,0.0,0.0491803278688524,0.115446267180519,736,25,3,2.0,0.0327421555252387,0.176443838108231
Kit 6 Cuecas Boxer Mash Box Algodão Cotton Original Com Nf,4.8,31.0,0.0,mash,algodão,Masculino,primavera-verão outono-inverno,100.0,107.96,0.925925925925926,0.00330542089026,0.0,0.1655468776644725,494,25,6,100.0,0.0109140518417462,0.176443838108231
Short Jeans Feminino Cintura Alta Destroyed Hot Pants Curto,4.5,33.0,11.0,stillger jeans,algodão,Feminino,primavera/verão,100.0,49.41,0.8148148148148148,0.003525782282944,0.0983606557377049,0.0657037618089424,738,25,7,100.0,0.0154615734424738,0.176443838108231
Kit Com 6 Cueca Box Zorba Algodão - Boxer Sem Costura 781,4.8,21.0,0.0,zorba,algodão,Masculino,primavera-verão outono-inverno,100.0,125.99,0.925925925925926,0.00220361392684,0.0,0.1962927594556802,838,25,6,100.0,0.0090950432014552,0.176443838108231
Conjunto Temático Dino Baby Kit 4 Peças Aniversário,4.560936497754971,0.0,0.0,pintando 7,Desconhecido,Bebês,não definido,5.0,102.70571283095724,0.0,0.0,0.0,0.0,607,178,1,5.0,0.0004547521600727,0.0
Calça Jeans Wide Leg Feminina Sawary,4.8,52.0,36.0,sawary,algodão,Feminino,outono/inverno,100.0,188.99,0.925925925925926,0.005619215513442,0.5081967213114754,0.3037242931687187,692,25,3,100.0,0.0068212824010914,0.176443838108231
Short Masculino Logo adidas Novo,5.0,9.0,35.0,adidas,poliéster,Masculino,outono/inverno,50.0,149.29,1.0,0.000881445570736,0.4918032786885247,0.2360253743051055,13,122,3,50.0,0.0109140518417462,0.1173260572987721
